Rapport mensuel des commandes;;;;;
Service commercial - export du 12/08/2026;;;;;
;;;;;
Date commande ;Client ;Région ; Montant HT ;Remise ;Statut 
28/09/2024;SCI LES PALMES;;822 229 F;19%;Annulée
05/04/2024;GROUPE IVOSOL;Abidjan ;488 636 F;0%;En cours
06/05/2024;ENTREPRISE DIALLO;Abidjan ;554 632 F;11%;Livrée
10/12/2024;ENTREPRISE DIALLO;Abidjan;538 059 F;6%;En cours
08/05/2024;ENTREPRISE DIALLO;;688 013 F;10%;En cours
09/11/2024;ENTREPRISE DIALLO;San-Pédro;431 068 F;16%;Livrée
13/01/2024;SARL BATIMAT;Abidjan ;468 431 F;1%;En cours
15/04/2024;SARL BATIMAT;Bouaké;356 213 F;18%;En cours
20/05/2024;ENTREPRISE DIALLO;;668 181 F;17%;En cours
27/12/2024;ENTREPRISE DIALLO;San-Pédro;502 093 F;16%;En cours
13/01/2024;GROUPE IVOSOL;San-Pédro;869 188 F;14%;Livrée
18/08/2024;ETS KOUASSI;;908 433 F;6%;En cours
20/08/2024;GROUPE IVOSOL;San-Pédro;807 786 F;18%;Annulée
13/03/2024;ENTREPRISE DIALLO;;927 197 F;11%;En cours
08/01/2024;GROUPE IVOSOL;Abidjan ;734 611 F;0%;En cours
06/10/2024;SCI LES PALMES;;524 711 F;15%;Livrée
10/03/2024;SCI LES PALMES;;174 013 F;15%;Livrée
18/06/2024;SCI LES PALMES;Abidjan ;763 830 F;7%;Annulée
28/10/2024;GROUPE IVOSOL;;367 313 F;2%;En cours
13/06/2024;GROUPE IVOSOL;;853 001 F;0%;En cours
22/10/2024;ETS KOUASSI;;850 683 F;15%;En cours
21/09/2024;ENTREPRISE DIALLO;Abidjan;180 534 F;12%;Annulée
11/02/2024;SARL BATIMAT;;133 439 F;10%;Annulée
;;;;;
06/07/2024;SARL BATIMAT;;695 466 F;13%;En cours
11/10/2024;ETS KOUASSI;Abidjan ;646 095 F;1%;Annulée
10/12/2024;ETS KOUASSI;;668 319 F;10%;Annulée
08/08/2024;SARL BATIMAT;San-Pédro;746 577 F;2%;En cours
21/03/2024;ENTREPRISE DIALLO;;787 534 F;4%;En cours
23/05/2024;ETS KOUASSI;Abidjan ;465 454 F;7%;Livrée
23/12/2024;GROUPE IVOSOL;;708 334 F;19%;Livrée
14/08/2024;ENTREPRISE DIALLO;Abidjan ;229 581 F;19%;En cours
10/04/2024;ENTREPRISE DIALLO;Abidjan;814 401 F;3%;Livrée
11/11/2024;SCI LES PALMES;San-Pédro;329 399 F;3%;Annulée
04/05/2024;ETS KOUASSI;Abidjan;472 169 F;19%;Annulée
20/12/2024;SARL BATIMAT;;292 972 F;5%;Livrée
27/12/2024;ENTREPRISE DIALLO;;787 893 F;15%;Annulée
21/12/2024;SARL BATIMAT;;852 118 F;3%;Annulée
07/06/2024;ENTREPRISE DIALLO;;64 692 F;19%;Annulée
23/04/2024;GROUPE IVOSOL;;853 293 F;5%;En cours
01/07/2024;ENTREPRISE DIALLO;;493 150 F;7%;En cours
21/11/2024;GROUPE IVOSOL;Bouaké;306 981 F;7%;Annulée
23/12/2024;GROUPE IVOSOL;;916 957 F;11%;Livrée
22/06/2024;ENTREPRISE DIALLO;Bouaké;386 899 F;6%;Livrée
09/03/2024;ENTREPRISE DIALLO;;491 963 F;5%;Livrée
24/09/2024;SARL BATIMAT;Bouaké;664 909 F;10%;En cours
01/03/2024;SCI LES PALMES;;709 939 F;17%;Annulée
;;;;;
20/09/2024;GROUPE IVOSOL;San-Pédro;832 763 F;10%;Livrée
10/04/2024;GROUPE IVOSOL;Abidjan ;136 777 F;12%;Livrée
01/09/2024;ENTREPRISE DIALLO;;496 917 F;20%;Annulée
06/02/2024;ENTREPRISE DIALLO;Abidjan;754 623 F;15%;Annulée
;;;;;
05/03/2024;SARL BATIMAT;;903 438 F;14%;En cours
;;;;;
01/03/2024;GROUPE IVOSOL;Abidjan;308 985 F;12%;En cours
22/06/2024;GROUPE IVOSOL;;839 552 F;12%;En cours
04/09/2024;ETS KOUASSI;;166 794 F;9%;Livrée
26/09/2024;GROUPE IVOSOL;Bouaké;526 790 F;8%;En cours
19/12/2024;SARL BATIMAT;;123 515 F;18%;Livrée
16/01/2024;SARL BATIMAT;;496 787 F;6%;Livrée
25/12/2024;ENTREPRISE DIALLO;Abidjan;777 199 F;13%;En cours
28/07/2024;ENTREPRISE DIALLO;;830 518 F;10%;Livrée
27/10/2024;SCI LES PALMES;;243 089 F;14%;En cours
;;;;;
16/11/2024;SCI LES PALMES;;898 666 F;3%;Annulée
26/05/2024;SCI LES PALMES;;172 190 F;16%;En cours
22/07/2024;SCI LES PALMES;;799 992 F;12%;Livrée
25/06/2024;SCI LES PALMES;San-Pédro;312 543 F;4%;En cours
23/11/2024;ETS KOUASSI;;458 373 F;18%;Annulée
02/07/2024;ETS KOUASSI;Bouaké;366 437 F;10%;Annulée
02/08/2024;SCI LES PALMES;Bouaké;580 128 F;7%;Annulée
11/04/2024;GROUPE IVOSOL;;203 321 F;19%;Livrée
18/03/2024;SCI LES PALMES;San-Pédro;871 628 F;10%;Livrée
03/08/2024;ENTREPRISE DIALLO;Abidjan;63 005 F;2%;En cours
17/12/2024;ETS KOUASSI;Abidjan ;695 046 F;12%;Annulée
26/06/2024;SCI LES PALMES;San-Pédro;921 185 F;15%;En cours
26/01/2024;ETS KOUASSI;;877 493 F;10%;Annulée
22/07/2024;ETS KOUASSI;;227 314 F;7%;Livrée
15/03/2024;ENTREPRISE DIALLO;Bouaké;121 436 F;12%;Annulée
08/07/2024;GROUPE IVOSOL;;846 299 F;17%;Annulée
25/07/2024;ETS KOUASSI;;63 412 F;4%;Livrée
02/05/2024;GROUPE IVOSOL;;935 791 F;5%;Annulée
01/02/2024;SARL BATIMAT;Abidjan ;221 142 F;18%;Livrée
27/11/2024;SCI LES PALMES;Abidjan ;601 431 F;11%;En cours
;;;;;
04/05/2024;GROUPE IVOSOL;;360 347 F;16%;Livrée
01/02/2024;SCI LES PALMES;Abidjan;867 893 F;12%;En cours
17/07/2024;SCI LES PALMES;Abidjan;852 692 F;5%;En cours
01/02/2024;SARL BATIMAT;;425 592 F;20%;Annulée
28/06/2024;ETS KOUASSI;Bouaké;60 836 F;15%;En cours
07/06/2024;SARL BATIMAT;;100 696 F;7%;Annulée
;;;;;
24/12/2024;SCI LES PALMES;Bouaké;322 569 F;4%;Livrée
25/06/2024;ENTREPRISE DIALLO;Abidjan;867 051 F;9%;En cours
06/05/2024;SCI LES PALMES;Abidjan ;457 156 F;19%;En cours
18/09/2024;ETS KOUASSI;Bouaké;305 811 F;12%;En cours
14/04/2024;ENTREPRISE DIALLO;;825 428 F;20%;Annulée
10/03/2024;SARL BATIMAT;Bouaké;92 450 F;14%;Annulée
22/09/2024;ENTREPRISE DIALLO;;92 505 F;7%;Annulée
10/03/2024;SCI LES PALMES;;469 893 F;6%;Annulée
13/12/2024;ENTREPRISE DIALLO;Bouaké;949 625 F;16%;Livrée
26/04/2024;SCI LES PALMES;;649 916 F;11%;Livrée
02/05/2024;SCI LES PALMES;;612 566 F;2%;Annulée
20/07/2024;ENTREPRISE DIALLO;;134 756 F;3%;Annulée
06/03/2024;GROUPE IVOSOL;;901 963 F;20%;En cours
23/01/2024;GROUPE IVOSOL;Bouaké;182 345 F;11%;En cours
04/08/2024;SARL BATIMAT;;506 611 F;17%;Livrée
19/05/2024;SARL BATIMAT;;251 627 F;17%;Livrée
03/08/2024;SCI LES PALMES;Abidjan;543 032 F;1%;Livrée
13/11/2024;ENTREPRISE DIALLO;;139 740 F;1%;Annulée
03/09/2024;ENTREPRISE DIALLO;Abidjan;374 314 F;4%;Livrée
20/06/2024;ETS KOUASSI;Abidjan;118 240 F;15%;En cours
27/03/2024;SCI LES PALMES;;272 950 F;19%;En cours
