date_reponse,agence,canal_contact,anciennete_mois,note_nps,note_delai,note_conseil,recommande,commentaire
2024-10-25,Bouaké Centre,Boutique,32,6,4,3,Non,"Conseiller très clair"
2024-04-16,Bouaké Centre,Boutique,9,7,3,3,Peut-être,""
2024-05-28,Abidjan Plateau,Commercial,30,7,3,4,Peut-être,"Rien à signaler"
2024-01-23,San-Pédro Port,Commercial,72,8,3,4,Peut-être,""
2024-08-05,Bouaké Centre,Commercial,29,8,4,4,Peut-être,""
2024-02-12,Bouaké Centre,Commercial,68,10,5,5,Oui,"Attente trop longue"
2024-12-03,Bouaké Centre,Boutique,31,9,5,4,Oui,""
2024-08-26,Abidjan Plateau,Commercial,68,7,3,3,Peut-être,"Attente trop longue"
2024-07-28,Bouaké Centre,Commercial,54,8,3,4,Peut-être,"Rien à signaler"
2024-01-02,San-Pédro Port,Site web,68,5,2,2,Non,"Rien à signaler"
2024-11-04,Abidjan Plateau,Site web,48,6,3,4,Non,"Service rapide"
2024-07-16,San-Pédro Port,Site web,33,7,3,4,Peut-être,"Conseiller très clair"
2024-04-10,Bouaké Centre,Commercial,72,6,4,3,Non,"Rien à signaler"
2024-03-14,San-Pédro Port,Téléphone,27,7,4,3,Peut-être,"Conseiller très clair"
2024-09-10,San-Pédro Port,Boutique,51,7,4,4,Peut-être,"Prix corrects"
2024-02-02,Bouaké Centre,Commercial,23,5,3,3,Non,""
2024-10-31,Abidjan Plateau,Site web,26,5,2,3,Non,"Service rapide"
2024-01-02,Bouaké Centre,Site web,26,6,3,4,Non,"Prix corrects"
2024-07-04,San-Pédro Port,Téléphone,45,7,3,4,Peut-être,"Rien à signaler"
2024-02-06,San-Pédro Port,Commercial,36,6,3,3,Non,"Attente trop longue"
2024-03-16,San-Pédro Port,Boutique,51,6,2,4,Non,"Conseiller très clair"
2024-05-06,Abidjan Yopougon,Site web,32,7,4,3,Peut-être,"Produit indisponible"
2024-04-12,Bouaké Centre,Téléphone,65,9,5,4,Oui,"Service rapide"
2024-04-18,Abidjan Plateau,Site web,10,10,5,5,Oui,"Rien à signaler"
2024-08-19,Bouaké Centre,Commercial,7,9,4,5,Oui,"Produit indisponible"
2024-02-08,Abidjan Plateau,Commercial,35,5,2,2,Non,"Service rapide"
2024-04-08,Abidjan Plateau,Boutique,41,8,5,4,Peut-être,"Rien à signaler"
2024-04-26,Abidjan Yopougon,Commercial,50,6,2,2,Non,""
2024-03-07,Abidjan Yopougon,Site web,14,5,3,2,Non,""
2024-01-23,Abidjan Yopougon,Commercial,60,4,2,2,Non,"Conseiller très clair"
2024-07-18,San-Pédro Port,Commercial,51,9,4,5,Oui,"Produit indisponible"
2024-08-31,Abidjan Yopougon,Boutique,63,5,2,2,Non,"Prix corrects"
2024-08-18,Abidjan Plateau,Site web,23,8,5,4,Peut-être,""
2024-02-25,Abidjan Yopougon,Site web,13,6,2,2,Non,"Service rapide"
2024-06-04,Abidjan Plateau,Boutique,64,9,4,4,Oui,"Produit indisponible"
2024-08-16,Bouaké Centre,Commercial,6,8,4,4,Peut-être,""
2024-07-27,Abidjan Yopougon,Téléphone,29,6,2,4,Non,"Conseiller très clair"
2024-03-11,San-Pédro Port,Téléphone,28,8,4,4,Peut-être,"Conseiller très clair"
2024-02-15,Bouaké Centre,Boutique,17,6,3,2,Non,"Attente trop longue"
2024-12-02,Abidjan Yopougon,Commercial,54,7,3,4,Peut-être,"Rien à signaler"
2024-08-25,Abidjan Yopougon,Commercial,42,7,3,3,Peut-être,"Conseiller très clair"
2024-02-25,Bouaké Centre,Boutique,68,7,3,4,Peut-être,"Prix corrects"
2024-06-24,Abidjan Plateau,Site web,17,9,4,4,Oui,"Produit indisponible"
2024-10-18,Abidjan Plateau,Site web,11,8,3,4,Peut-être,"Attente trop longue"
2024-06-30,Bouaké Centre,Site web,19,5,2,3,Non,"Service rapide"
2024-02-09,Bouaké Centre,Commercial,15,7,4,3,Peut-être,""
2024-05-01,San-Pédro Port,Site web,4,10,5,5,Oui,"Rien à signaler"
2024-05-31,Abidjan Plateau,Téléphone,70,6,3,3,Non,"Service rapide"
2024-01-28,Abidjan Plateau,Boutique,38,7,4,4,Peut-être,"Attente trop longue"
2024-07-16,Abidjan Plateau,Téléphone,54,7,4,3,Peut-être,""
2024-07-30,Abidjan Plateau,Boutique,72,5,3,2,Non,""
2024-09-07,Abidjan Yopougon,Téléphone,67,7,3,4,Peut-être,""
2024-06-09,Abidjan Plateau,Site web,55,7,3,3,Peut-être,"Conseiller très clair"
2024-05-31,Bouaké Centre,Téléphone,9,8,5,4,Peut-être,"Service rapide"
2024-05-26,Bouaké Centre,Commercial,18,8,4,4,Peut-être,"Prix corrects"
2024-01-10,Abidjan Yopougon,Boutique,35,5,2,3,Non,""
2024-01-10,San-Pédro Port,Boutique,42,8,3,3,Peut-être,"Produit indisponible"
2024-01-29,Bouaké Centre,Boutique,67,7,4,3,Peut-être,"Rien à signaler"
2024-12-12,Abidjan Plateau,Commercial,7,8,4,4,Peut-être,"Service rapide"
2024-12-05,Abidjan Plateau,Site web,26,5,2,2,Non,"Produit indisponible"
2024-08-25,Abidjan Yopougon,Boutique,19,4,3,1,Non,"Rien à signaler"
2024-05-10,San-Pédro Port,Site web,10,6,4,4,Non,""
2024-10-18,Abidjan Yopougon,Boutique,52,5,3,2,Non,""
2024-06-13,Abidjan Plateau,Boutique,62,9,4,5,Oui,""
2024-02-01,San-Pédro Port,Téléphone,68,7,3,4,Peut-être,"Attente trop longue"
2024-05-23,Abidjan Yopougon,Téléphone,36,5,3,2,Non,"Produit indisponible"
2024-10-13,San-Pédro Port,Boutique,38,10,4,4,Oui,"Service rapide"
2024-04-14,Bouaké Centre,Boutique,20,8,5,4,Peut-être,"Service rapide"
2024-06-16,Abidjan Plateau,Téléphone,25,8,4,4,Peut-être,"Service rapide"
2024-11-29,Bouaké Centre,Téléphone,24,7,3,4,Peut-être,"Rien à signaler"
2024-05-15,San-Pédro Port,Téléphone,44,7,4,4,Peut-être,"Prix corrects"
2024-08-08,Abidjan Plateau,Commercial,38,7,4,4,Peut-être,"Service rapide"
2024-07-31,Bouaké Centre,Commercial,52,9,5,4,Oui,"Service rapide"
2024-03-20,San-Pédro Port,Commercial,57,6,3,2,Non,""
2024-09-20,San-Pédro Port,Commercial,67,10,4,5,Oui,""
2024-04-09,Abidjan Yopougon,Téléphone,46,3,2,1,Non,"Prix corrects"
2024-11-17,San-Pédro Port,Commercial,6,8,3,4,Peut-être,""
2024-09-18,Bouaké Centre,Boutique,45,8,5,5,Peut-être,""
2024-07-30,Abidjan Plateau,Commercial,64,9,5,5,Oui,"Produit indisponible"
