reference,designation,famille,depot,stock_actuel,stock_mini,delai_reappro_jours,valeur_unitaire,rotation_mensuelle,statut
REF-1000,Ciment modèle 37,Ciment,Entrepôt Nord,399,35,12,14573,38,Normal
REF-1001,Peinture modèle 36,Peinture,Entrepôt Nord,228,92,7,20919,90,Normal
REF-1002,Ciment modèle 2,Ciment,Entrepôt Sud,21,42,23,10262,79,Sous le seuil
REF-1003,Carrelage modèle 22,Carrelage,Entrepôt Nord,358,94,3,15435,45,Normal
REF-1004,Électricité modèle 5,Électricité,Entrepôt Sud,206,70,12,14606,5,Normal
REF-1005,Plomberie modèle 29,Plomberie,Dépôt Bouaké,43,47,9,10246,108,Sous le seuil
REF-1006,Peinture modèle 14,Peinture,Entrepôt Sud,96,78,13,10559,24,À surveiller
REF-1007,Carrelage modèle 29,Carrelage,Entrepôt Nord,248,63,8,15170,113,Normal
REF-1008,Plomberie modèle 18,Plomberie,Entrepôt Sud,107,32,29,14366,65,Normal
REF-1009,Fer à béton modèle 8,Fer à béton,Dépôt Bouaké,21,78,24,9761,29,Sous le seuil
REF-1010,Ciment modèle 22,Ciment,Dépôt Bouaké,362,53,20,14880,81,Normal
REF-1011,Plomberie modèle 15,Plomberie,Entrepôt Sud,234,81,12,8351,54,Normal
REF-1012,Carrelage modèle 31,Carrelage,Dépôt Bouaké,58,46,24,13809,37,À surveiller
REF-1013,Fer à béton modèle 19,Fer à béton,Dépôt Bouaké,275,42,9,10501,42,Normal
REF-1014,Ciment modèle 19,Ciment,Entrepôt Sud,272,41,22,4700,83,Normal
REF-1015,Peinture modèle 23,Peinture,Dépôt Bouaké,61,41,5,6554,105,À surveiller
REF-1016,Peinture modèle 10,Peinture,Entrepôt Nord,57,34,7,19256,113,À surveiller
REF-1017,Peinture modèle 25,Peinture,Dépôt Bouaké,279,55,21,8853,44,Normal
REF-1018,Carrelage modèle 36,Carrelage,Entrepôt Nord,377,63,28,6363,117,Normal
REF-1019,Plomberie modèle 3,Plomberie,Entrepôt Nord,353,31,5,5676,6,Normal
REF-1020,Fer à béton modèle 16,Fer à béton,Entrepôt Nord,233,98,7,18025,70,Normal
REF-1021,Fer à béton modèle 23,Fer à béton,Entrepôt Sud,394,99,7,15334,74,Normal
REF-1022,Ciment modèle 22,Ciment,Dépôt Bouaké,316,39,12,17015,92,Normal
REF-1023,Plomberie modèle 10,Plomberie,Entrepôt Sud,247,91,24,12427,98,Normal
REF-1024,Peinture modèle 1,Peinture,Dépôt Bouaké,269,90,27,7427,58,Normal
REF-1025,Plomberie modèle 18,Plomberie,Dépôt Bouaké,193,34,15,5908,50,Normal
REF-1026,Peinture modèle 10,Peinture,Dépôt Bouaké,273,39,24,13433,103,Normal
REF-1027,Peinture modèle 6,Peinture,Entrepôt Sud,360,31,11,10604,22,Normal
REF-1028,Fer à béton modèle 4,Fer à béton,Entrepôt Sud,189,33,13,5720,105,Normal
REF-1029,Plomberie modèle 31,Plomberie,Entrepôt Sud,295,30,13,9078,113,Normal
REF-1030,Fer à béton modèle 8,Fer à béton,Entrepôt Sud,219,89,16,10987,68,Normal
REF-1031,Électricité modèle 21,Électricité,Dépôt Bouaké,189,31,10,14219,85,Normal
REF-1032,Électricité modèle 4,Électricité,Entrepôt Nord,39,38,19,13190,111,À surveiller
REF-1033,Plomberie modèle 30,Plomberie,Entrepôt Nord,248,90,29,20240,110,Normal
REF-1034,Carrelage modèle 11,Carrelage,Entrepôt Nord,188,75,21,3234,52,Normal
REF-1035,Carrelage modèle 32,Carrelage,Dépôt Bouaké,159,52,27,9254,115,Normal
REF-1036,Fer à béton modèle 37,Fer à béton,Entrepôt Sud,204,98,18,16835,93,Normal
REF-1037,Ciment modèle 17,Ciment,Entrepôt Nord,375,91,17,13074,31,Normal
REF-1038,Ciment modèle 30,Ciment,Entrepôt Nord,213,27,24,11612,18,Normal
