date_vente,region,canal_vente,famille_produit,segment_client,quantite,prix_unitaire,remise_pct,montant_ht
2024-08-05,Bouaké,Revendeur,Électricité,Particulier,22,9888,5,206659
2024-01-28,Daloa,Direct,Fer à béton,,3,8880,0,26640
2024-01-27,Korhogo,Grand compte,Plomberie,Particulier,3,7662,7,21377
2024-03-15,Daloa,Direct,Plomberie,Artisan,2,7881,4,15132
2024-11-11,Korhogo,Grand compte,Plomberie,Artisan,14,6624,10,83462
2024-05-19,Bouaké,Grand compte,Fer à béton,,23,8374,7,241812
2024-07-28,Yamoussoukro,Direct,Électricité,Particulier,15,9481,4,136526
2024-05-25,San-Pédro,Direct,Ciment,Particulier,22,6412,2,186628
2024-06-13,Abidjan,Grand compte,Fer à béton,Artisan,35,9487,9,407917
2024-12-06,Bouaké,Revendeur,Peinture,Particulier,28,13333,1,369591
2024-08-13,Abidjan,Direct,Plomberie,,18,7105,3,124053
2024-04-02,Bouaké,Grand compte,Fer à béton,Particulier,3,10237,10,37314
2024-06-12,Bouaké,Grand compte,Fer à béton,Artisan,19,9958,5,242652
2024-01-01,Yamoussoukro,Direct,Électricité,Entreprise,24,9148,5,208574
2024-09-20,Daloa,Direct,Fer à béton,Entreprise,16,9990,3,155045
2024-12-10,Korhogo,Revendeur,Électricité,Entreprise,24,9938,3,231357
2024-05-03,Korhogo,Grand compte,Électricité,Artisan,10,8475,1,113268
2024-02-19,San-Pédro,Grand compte,Fer à béton,Particulier,12,8332,9,90985
2024-08-22,Daloa,Grand compte,Fer à béton,Particulier,5,10092,5,47937
2024-04-23,Korhogo,Direct,Électricité,Entreprise,12,9199,3,144553
2024-07-21,Daloa,Revendeur,Électricité,Artisan,24,9301,1,220992
2024-08-09,Korhogo,Revendeur,Ciment,,20,6371,5,121049
2024-10-02,Abidjan,Grand compte,Fer à béton,Artisan,9,7996,11,64048
2024-10-06,San-Pédro,Direct,Peinture,,18,13122,1,233834
2024-02-28,San-Pédro,Revendeur,Fer à béton,Particulier,5,10178,1,50381
2024-12-27,Abidjan,Direct,Ciment,Particulier,18,6848,0,123264
2024-01-23,Abidjan,Direct,Peinture,Artisan,40,13688,1,542045
2024-03-18,Bouaké,Revendeur,Carrelage,,29,12143,1,348626
2024-04-13,Korhogo,Grand compte,Peinture,Artisan,30,15560,1,623878
2024-02-11,Bouaké,Direct,Fer à béton,Particulier,23,10181,3,227138
2024-11-09,San-Pédro,Direct,Carrelage,Particulier,22,12774,6,264166
2024-08-14,Korhogo,Grand compte,Fer à béton,,20,10241,14,176145
2024-12-07,Daloa,Revendeur,Ciment,Particulier,4,6704,0,26816
2024-12-14,Abidjan,Grand compte,Électricité,Artisan,18,7846,8,129930
2024-01-19,Yamoussoukro,Direct,Peinture,,32,16351,2,512767
2024-10-26,San-Pédro,Revendeur,Ciment,Particulier,22,5710,2,123108
2024-01-04,Bouaké,Direct,Fer à béton,Particulier,40,9284,3,360219
2024-11-27,Daloa,Grand compte,Carrelage,Particulier,4,10567,7,39309
2024-12-05,San-Pédro,Direct,Fer à béton,,32,9822,5,298589
2024-05-29,Abidjan,Direct,Plomberie,Particulier,18,7660,1,184277
